data,torneo,home,away,elo_h,elo_a,gol_home,gol_away,match_confidence,match_note
22/10/2024,argentina - nacional b,all boys,agropecuario,1679.38,1567.66,,,n/d,data giusta ma nessun avversario simile a 'agropecuario'
22/10/2024,brasile - serie b,chapecoense,goias,1754.44,1718.59,,,n/d,nessuna partita con quella data sulla pagina
22/10/2024,germania - liga 3,erzgebirge aue,cottbus,1923.04,1885.05,,,n/d,nessuna partita con quella data sulla pagina
26/10/2024,romania - liga 1,petrolul ploiest,csm poltehnica iasi,1888.16,1767.74,3,1,bassa,rating diverso di 70.9 punti totali - verificare a mano
26/10/2024,turchia - super lig,kasimpasa,samsunspor,2057.52,2018.01,1,4,media,rating diverso di 27.8 punti (plausibile pre/post match)
26/10/2024,scozia - championship,hamilton,morton,1639.39,1585.51,,,n/d,nessuna partita con quella data sulla pagina
26/10/2024,marocco - gnf 1,husa agadir,codm meknes,1679.7,1582.49,,,n/d,data giusta ma nessun avversario simile a 'codm meknes'
26/10/2024,polonia - liga 1,termalica bb nieciecza,arka gdynia,1861.76,1844.54,,,n/d,nessuna partita con quella data sulla pagina
26/10/2024,brasile - serie a,athletico paranaense,cruzeiro,1935.08,1852.12,,,n/d,data giusta ma nessun avversario simile a 'cruzeiro'
27/10/2024,turchia - 1 lig,amed sk,pendikspor,1907.43,1848.39,0,1,media,rating diverso di 31.0 punti (plausibile pre/post match)
27/10/2024,marocco - gnf 2,waf widad fes,jsm massira,1504.83,1478.05,,,n/d,data giusta ma nessun avversario simile a 'jsm massira'
28/10/2024,polonia - liga 1,gks tychy,znicz pruszkow,1737.7,1696.63,,,n/d,data giusta ma nessun avversario simile a 'znicz pruszkow'
29/10/2024,francia - ligue 2,sc bastia,rodez,1906.77,1797.57,2,2,bassa,rating diverso di 62.7 punti totali - verificare a mano
1/11/2024,spagna - la liga,alaves,maiorca,2166.69,2098.79,1,0,bassa,rating diverso di 140.6 punti totali - verificare a mano
1/11/2024,francia - ligue 1,lilla,lione,2259.0,2182.17,,,n/d,data giusta ma nessun avversario simile a 'lione'
2/11/2024,svezia - superettan,landskorna,degerfors,1964.61,1923.24,1,1,media,rating diverso di 55.9 punti (plausibile pre/post match)
2/11/2024,uk - championship,stoke,derby,2032.98,1958.54,2,1,bassa,rating diverso di 102.2 punti totali - verificare a mano
2/11/2024,croazia - hnl,nk lokomotiva zagabria,slaven belupo,1897.61,1786.34,,,n/d,data giusta ma nessun avversario simile a 'slaven belupo'
2/11/2024,italia - serie b,spezia,modena,1957.92,1853.0,1,0,media,rating diverso di 59.8 punti (plausibile pre/post match)
3/11/2024,argentina - liga profesional,belgrano,defensa y justicia,1957.92,1853.0,,,n/d,data giusta ma nessun avversario simile a 'defensa y justicia'
3/11/2024,paraguay - division profesional,sportivo luqueno,sportivo trinidense,2032.98,1958.54,,,n/d,nessuna partita con quella data sulla pagina
