data,torneo,home,away,elo_h,elo_a
22/10/2024,argentina - nacional b,all boys,agropecuario,1679.38,1567.66
22/10/2024,brasile - serie b,chapecoense,goias,1754.44,1718.59
22/10/2024,germania - liga 3,erzgebirge aue,cottbus,1923.04,1885.05
26/10/2024,romania - liga 1,petrolul ploiest,csm poltehnica iasi,1888.16,1767.74
26/10/2024,turchia - super lig,kasimpasa,samsunspor,2057.52,2018.01
26/10/2024,scozia - championship,hamilton,morton,1639.39,1585.51
26/10/2024,marocco - gnf 1,husa agadir,codm meknes,1679.7,1582.49
26/10/2024,polonia - liga 1,termalica bb nieciecza,arka gdynia,1861.76,1844.54
26/10/2024,brasile - serie a,athletico paranaense,cruzeiro,1935.08,1852.12
27/10/2024,turchia - 1 lig,amed sk,pendikspor,1907.43,1848.39
27/10/2024,marocco - gnf 2,waf widad fes,jsm massira,1504.83,1478.05
28/10/2024,polonia - liga 1,gks tychy,znicz pruszkow,1737.7,1696.63
29/10/2024,francia - ligue 2,sc bastia,rodez,1906.77,1797.57
1/11/2024,spagna - la liga,alaves,maiorca,2166.69,2098.79
1/11/2024,francia - ligue 1,lilla,lione,2259.0,2182.17
2/11/2024,svezia - superettan,landskorna,degerfors,1964.61,1923.24
2/11/2024,uk - championship,stoke,derby,2032.98,1958.54
2/11/2024,croazia - hnl,nk lokomotiva zagabria,slaven belupo,1897.61,1786.34
2/11/2024,italia - serie b,spezia,modena,1957.92,1853.0
3/11/2024,argentina - liga profesional,belgrano,defensa y justicia,1957.92,1853.0
3/11/2024,paraguay - division profesional,sportivo luqueno,sportivo trinidense,2032.98,1958.54
3/11/2024,danimarca - superligaen,midtjylland,brondby,1897.61,1786.34
3/11/2024,italia - serie b,cosenza,salernitana,1957.92,1853.0
3/11/2024,italia - serie b,cremonese,pisa,1957.92,1853.0
3/11/2024,marocco - gnf 2,youssufia berrechid,stade marocain du rabat,2032.98,1958.54
3/11/2024,romania - liga 1,cs u craiova,fcsb,1897.61,1786.34
3/11/2024,polonia - ekstraklasa,zaglebie lubin,slask wroclaw,1907.6,1878.3
3/11/2024,spagna - la liga,celta vigo,getafe,2180.82,2073.29
3/11/2024,uk - championship,plymouth,portsmouth,1917.6,1882.87
3/11/2024,brasile - serie a,bahia,san paolo,1897.61,1786.34
3/11/2024,costa rica - primera division,cartagines,municipal liberia,1907.6,1878.3
3/11/2024,guatemala - liga nacional,malacateco,csd comunicaciones,1731.35,1648.65
3/11/2024,honduras - lega nazionale,juticalpa,lobos upnfm,1486.37,1434.39
8/11/2024,germania - bundesliga 2,norimberga,kaiserslautern,2061.01,1987.84
8/11/2024,francia - national,nimes,us quevilly,1672.18,1599.0
9/11/2024,argentina - primera b metropolitana,excursionistas,ferrocarril midland,1546.04,1467.52
9/11/2024,italia - serie b,Brescia,Cosenza,1848.08,1799.96
9/11/2024,italia - serie b,Modena,Carrarese,1914.53,1783.9
10/11/2024,danimarca - 2 divisione,skive,frem,1679.62,1655.01
10/11/2024,iran - 1 divisione,pars jonoubi jam,paykan,1586.6,1525.42
10/11/2024,argentina - liga profesional,lanus,ca platense,1870.09,1783.68
10/11/2024,cile - primera b,club deportes santa cruz,rangers de talca,1494.28,1490.84
10/11/2024,colombia - primera b,union magdalena,huila,1708.71,1552.53
10/11/2024,colombia - primera b,america de cali,once caldas,1796.54,1670.82
10/11/2024,italia - serie b,Benevento ,Avellino ,1794.17,1722.32
10/11/2024,argentina - liga profesional,lanus,defensa y justicia,1841.05,1770.61
26/11/2024,uk - championship,burnley,coventry,2129.81,2054.19
26/11/2024,uk - championship,hull,sheffield wednesday,2028.11,1995.3
28/11/2024,colombia - primera a,deportes tolima,america de cali,1887.83,1785.25
28/11/2024,brasile - serie a,cruzeiro,gremio,1974.66,1867.45
29/11/2024,uk - championship,sheffield united,sunderland,2129.77,2024.85
30/11/2024,spagna - segunda division,cadice,deportivo la coruna,1966.56,1873.63
30/11/2024,egitto - 1 divisione,ceramica cleopatra,modern sport fc,1818.5,1780.48
30/11/2024,italia - serie b,sampdoria,catanzaro,1950.74,1834.84
1/12/2024,grecia - superleague 2,ilioupoli,aek atene b,1621.25,1505.23
1/12/2024,danimarca - superligaen,lyngby,sonderjyske,1929.51,1902.74
1/12/2024,Italia - serie b,pisa,Cosenza,1934.95,1830.04
1/12/2024,marocco - gnf 2,kac kenitra,chabab atlas khenifra,1547.86,1459.96
1/12/2024,brasile - serie a,gremio,san paolo,1940.61,1888.44
1/12/2024,Marocco - gnf 1,mas fes,renaissance zemamra,1725.75,1651.31
2/12/2024,algeria - 1 divisione,js saoura,js kabylie,1835.61,1765.18
2/12/2024,argentina - liga profesional,ca talleres de cordoba,huracan,1936.85,1790.41
3/12/2024,uk - league 2,walsall,notts county,1915.67,1832.96
5/12/2024,honduras - lega nazionale,genesis de comayagua,real espana,1611.94,1578.42
5/12/2024,campionato d'iraq,al talaba,al karkh,1688.24,1566.03
6/12/2024,brasile - serie a,athletico paranaense,bragantino,1946.67,1862.02
6/12/2024,germania - bundesliga 2,elversberg,norimberga,2057.21,2033.56
