home_team,away_team,home_rating_home,away_rating_away,home_rating_total,away_rating_total,fetched_at
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-07-21T14:57:40.649069
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-07-22T10:21:40.502638
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-07-23T10:15:43.892043
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-07-24T10:12:16.010925
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-07-25T09:41:57.645649
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-07-27T11:15:17.251423
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-07-27T12:33:04.575442
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-07-29T10:34:17.348424
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-07-30T10:20:45.718147
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-07-31T10:33:51.602790
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-08-01T09:53:49.565924
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-08-02T09:52:06.274079
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-08-03T11:17:45.102079
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-08-04T10:32:52.666111
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-08-05T10:29:59.184063
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-08-06T10:34:06.638247
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-08-07T08:52:57.123472
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-08-08T08:34:23.098546
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-08-09T08:36:11.532449
Juventus Torino,AC Fiorentina,2426.85,2116.94,2381.65,2167.47,2026-08-10T09:14:06.208526
Juventus Torino,AC Fiorentina,2426.85,2122.3,2381.65,2170.14,2026-08-11T08:48:55.072415
Juventus Torino,AC Fiorentina,2426.85,2122.3,2381.65,2170.14,2026-08-12T09:07:03.888994
Juventus Torino,AC Fiorentina,2426.85,2122.3,2381.03,2128.77,2026-08-13T09:06:43.618103
Juventus Torino,AC Fiorentina,2426.85,2122.3,2381.03,2126.65,2026-08-14T09:02:53.553013
Juventus Torino,AC Fiorentina,2426.85,2122.3,2381.03,2125.55,2026-08-15T08:21:22.207865
Juventus Torino,AC Fiorentina,2426.85,2122.3,2381.03,2125.55,2026-08-16T08:22:14.930495
Juventus Torino,AC Fiorentina,2426.85,2122.3,2387.7,2125.55,2026-08-17T08:36:46.258908
Juventus Torino,AC Fiorentina,2426.85,2122.3,2387.7,2125.55,2026-08-18T08:29:35.887515
Juventus Torino,AC Fiorentina,2426.85,2122.3,2387.7,2125.55,2026-08-19T08:31:00.584853
Juventus Torino,AC Fiorentina,2426.85,2126.16,2387.12,2127.48,2026-08-20T08:31:58.229116
Juventus Torino,AC Fiorentina,2426.85,2126.16,2391.7,2127.48,2026-08-21T08:33:55.660744
